iter	F1	Logloss
0	0.5558214345	0.6797226764
1	0.5840202418	0.6737151341
2	0.5860935402	0.6662348962
3	0.5930243184	0.6614243476
4	0.6033404852	0.6541353073
5	0.6193319647	0.6447896088
6	0.6282334048	0.6400777222
7	0.6345780145	0.6364984864
8	0.64091019	0.6327724862
9	0.6420624506	0.6284504974
10	0.6466468978	0.6254053662
11	0.6498755446	0.6188008799
12	0.6555030789	0.6156333503
13	0.6597794001	0.6126212441
14	0.6669646811	0.607463366
15	0.6682454753	0.6045601042
16	0.6713201271	0.6018666287
17	0.6753567105	0.5992551952
18	0.6801698913	0.5959863134
19	0.6822098527	0.5949327385
20	0.684732971	0.592722223
21	0.686966972	0.5905271635
22	0.6880287783	0.5865315156
23	0.6940644078	0.5821254425
24	0.6925417257	0.5799676825
25	0.6947011133	0.5785073859
26	0.7049534057	0.5731640594
27	0.7076635031	0.5711082429
28	0.7112663112	0.5678637702
29	0.7162792122	0.5638317772
30	0.7165976195	0.5624893285
31	0.7193601919	0.5600770358
32	0.7239539865	0.5568582448
33	0.7262340595	0.5551657131
34	0.7284363955	0.5526680284
35	0.7351799035	0.5490039951
36	0.7391022668	0.5450560774
37	0.7426037556	0.5415908764
38	0.7453041782	0.5378440006
39	0.7542662094	0.5330112571
40	0.7561413851	0.5298900318
41	0.7621861166	0.5249361383
42	0.7680516642	0.5204022172
43	0.7690102349	0.5167458793
44	0.772092669	0.5139599866
45	0.7757501181	0.5095468897
46	0.7781467754	0.505655061
47	0.7790014366	0.5024001014
48	0.7842581881	0.4969789726
49	0.7893418823	0.4935474254
50	0.7929395937	0.4897963829
51	0.7971201089	0.4857004127
