iter	Passed	Remaining
0	1302	128967
1	2455	120328
2	3480	112529
3	4521	108525
4	5536	105191
5	6593	103293
6	7759	103094
7	8838	101639
8	9915	100260
9	11017	99156
10	12128	98132
11	13335	97790
12	14445	96672
13	15487	95136
14	16523	93633
15	17575	92271
16	18657	91090
17	19772	90073
18	20811	88721
19	21804	87217
20	22976	86435
21	24267	86041
22	25479	85299
23	26617	84288
24	27783	83349
25	28892	82231
26	30103	81390
27	31327	80556
28	32439	79420
29	33515	78202
30	34585	76980
31	35743	75954
32	36781	74678
33	37837	73449
34	38920	72280
35	40063	71223
36	41294	70312
37	42420	69212
38	43592	68182
39	44764	67146
40	45924	66085
41	47129	65083
42	48211	63908
43	49263	62698
44	50302	61481
45	51345	60275
46	52541	59248
47	53578	58043
48	54653	56884
49	55788	55788
50	56960	54726
51	58219	53741
